Feature,Covered,Defining Type,UML Standard,Filtered
protocol,true,Interface,true,true
result,true,[Abstract] CallAction,true,true
_loopNodeOfSetupPart,true,[Abstract] ExecutableNode,false,false
_interactionUseOfActualGate,true,Gate,false,true
isException,true,Parameter,true,true
redefinitionContext__from_Vertex,true,[Abstract] Vertex,true,false
alias,true,ElementImport,true,true
ownedPort,true,[Abstract] EncapsulatedClassifier,true,false
format,true,Image,true,true
interaction,true,Lifeline,true,true
generalization,true,[Abstract] Classifier,true,true
_instanceValueOfInstance,true,InstanceSpecification,false,false
parameter,true,ActivityParameterNode,true,true
ownedUseCase,true,[Abstract] Classifier,true,true
object,true,[Abstract] StructuralFeatureAction,true,true
_classifierTemplateParameterOfConstrainingClassifier,true,[Abstract] Classifier,false,false
_representationText,true,[Abstract] ModelObject,false,true
_startObjectBehaviorActionOfObject,true,InputPin,false,true
_profileOfMetamodelReference,true,PackageImport,false,true
extendedStateMachine,true,StateMachine,true,false
end,true,Connector,true,true
exit,true,ConnectionPointReference,true,true
specificMachine,true,ProtocolConformance,true,true
_typedElementOfType,true,[Abstract] Type,false,false
_linkEndDataOfQualifier,true,QualifierValue,false,true
_connectorOfEnd,true,ConnectorEnd,false,true
_linkEndDataOfValue,true,InputPin,false,false
_combinedFragmentOfOperand,true,InteractionOperand,false,true
_transitionOfTrigger,true,Trigger,false,true
guard,true,[Abstract] ActivityEdge,true,true
owningInstanceSpec,true,[Abstract] ValueSpecification,true,true
end,true,LinkEndData,true,true
metaclass,true,Extension,true,false
fileName,true,Artifact,true,true
_reclassifyObjectActionOfOldClassifier,true,[Abstract] Classifier,false,false
_portOfRequired,false,Interface,false,false
extendedRegion,true,Region,true,true
importingNamespace,true,PackageImport,true,true
_collaborationUseOfRoleBinding,true,Dependency,false,true
templateBinding,true,TemplateParameterSubstitution,true,true
_qualifierValueOfValue,true,InputPin,false,false
_callActionOfResult,true,OutputPin,false,true
isAbstract__from_Class,true,Class,true,false
conformance,true,ProtocolStateMachine,true,true
_vertexOfRedefinitionContext,false,[Abstract] Classifier,false,false
_stateMachineOfExtendedStateMachine,true,StateMachine,false,false
redefinedConnector,true,Connector,true,true
_gateOfFormalGate,true,Gate,false,false
redefinedVertex,true,[Abstract] Vertex,true,true
_interactionFragmentOfGeneralOrdering,true,GeneralOrdering,false,true
specification__from_DurationConstraint,true,DurationConstraint,true,false
executionLocation,true,DeploymentSpecification,true,true
fromAction,true,ActionInputPin,true,true
realizingActivityEdge,true,InformationFlow,true,true
_sendSignalActionOfSignal,true,Signal,false,false
qualifiedName,true,[Abstract] NamedElement,true,false
_readStructuralFeatureActionOfResult,true,OutputPin,false,true
selector,true,Lifeline,true,true
isIndirectlyInstantiated,true,Component,true,true
required,true,Port,true,false
_raiseExceptionActionOfException,true,InputPin,false,true
argument,true,InteractionUse,true,true
operand,true,Expression,true,true
object,true,StartClassifierBehaviorAction,true,true
relatedElement,true,[Abstract] Relationship,true,false
_objectFlowOfTransformation,true,[Abstract] Behavior,false,false
_packageImportOfImportedPackage,true,Package,false,false
visibility,true,ElementImport,true,true
source,true,[Abstract] DirectedRelationship,true,false
body,true,Comment,true,true
result,true,ClearStructuralFeatureAction,true,true
redefinedTransition,true,Transition,true,true
end,true,ReadLinkObjectEndAction,true,true
_durationConstraintOfSpecification,true,DurationInterval,false,false
isConjugated,true,Port,true,true
allowSubstitutable,true,ClassifierTemplateParameter,true,true
expression,true,[Abstract] ValueSpecification,true,true
isReplaceAll,true,AddStructuralFeatureValueAction,true,true
_redefinableElementOfRedefinitionContext,true,[Abstract] Classifier,false,false
variable,true,Activity,true,true
ownedOperation,true,DataType,true,true
isUnique,true,[Abstract] MultiplicityElement,true,true
region,true,StateMachine,true,true
invariant,true,StateInvariant,true,true
target,true,[Abstract] ActivityEdge,true,true
packagedElement,true,Component,true,true
templateBinding,true,[Abstract] TemplateableElement,true,true
_connectorOfRedefinedConnector,true,Connector,false,false
_connectionPointReferenceOfExit,true,Pseudostate,false,false
_structuralFeatureActionOfObject,true,InputPin,false,true
redefinitionContext__from_Transition,true,Transition,true,false
_protocolTransitionOfReferred,false,Operation,false,false
_interactionUseOfReturnValueRecipient,true,Property,false,false
_exceptionHandlerOfExceptionType,true,[Abstract] Classifier,false,false
_removeVariableValueActionOfRemoveAt,true,InputPin,false,true
_messageOfArgument,true,[Abstract] ValueSpecification,false,true
result,true,CreateObjectAction,true,true
redefinedInterface,true,Interface,true,true
first,true,TestIdentityAction,true,true
