Feature,Covered,Defining Type,UML Standard,Filtered
isDerived,true,Property,true,true
appliedStereotype,true,[Abstract] Element,true,true
fragment,true,InteractionOperand,true,true
realizingMessage,true,InformationFlow,true,true
useCase,true,ExtensionPoint,true,true
_variableActionOfVariable,true,Variable,false,false
container,true,Transition,true,true
result,true,LoopNode,true,false
_opaqueActionOfInputValue,true,InputPin,false,true
lower,true,Operation,true,false
aggregation,true,Property,true,true
removeAt,true,RemoveStructuralFeatureValueAction,true,true
_callOperationActionOfTarget,true,InputPin,false,true
_conditionalNodeOfResult,true,OutputPin,false,true
result,true,[Abstract] CallAction,true,true
templateBinding,true,TemplateParameterSubstitution,true,true
_interactionUseOfActualGate,true,Gate,false,true
lowerValue,true,[Abstract] MultiplicityElement,true,true
nestedClassifier,true,Interface,true,true
realizingActivityEdge,true,InformationFlow,true,true
ownedRule,true,[Abstract] Namespace,true,true
_actionExecutionSpecificationOfAction,true,[Abstract] Action,false,false
condition,true,ParameterSet,true,true
_stereotypedElement,true,Stereotype,false,false
concurrency,true,[Abstract] BehavioralFeature,true,true
manifestation,true,Artifact,true,true
message,true,ConsiderIgnoreFragment,true,true
_loopNodeOfDecider,true,OutputPin,false,false
_nodeOfNestedNode,true,Node,false,true
_signalEventOfSignal,true,Signal,false,false
end,true,ReadLinkObjectEndAction,true,true
toBefore,true,OccurrenceSpecification,true,true
predecessorClause,true,Clause,true,true
_structuredClassifierOfOwnedAttribute,true,Property,false,true
_interfaceOfRedefinedInterface,true,Interface,false,false
redefinedPort,true,Port,true,true
value,true,LiteralReal,true,true
source,true,[Abstract] ActivityEdge,true,true
subject,true,UseCase,true,true
object,true,ClearAssociationAction,true,true
_lifelineOfSelector,true,[Abstract] ValueSpecification,false,true
guard,true,[Abstract] ActivityEdge,true,true
collection,true,ReduceAction,true,true
isComposite,true,State,true,false
isAbstract,true,[Abstract] BehavioralFeature,true,true
_lifelineOfDecomposedAs,true,PartDecomposition,false,false
object,true,UnmarshallAction,true,true
utilizedElement,true,Manifestation,true,true
namespace,true,[Abstract] NamedElement,true,false
_opaqueActionOfOutputValue,true,OutputPin,false,true
_substitutionOfContract,true,[Abstract] Classifier,false,false
_clearStructuralFeatureActionOfResult,true,OutputPin,false,true
result,true,AcceptEventAction,true,true
result,true,ValueSpecificationAction,true,true
packageImport,true,[Abstract] Namespace,true,true
owningPackage,true,[Abstract] PackageableElement,true,true
isIndirectlyInstantiated,true,Component,true,true
raisedException__from_Operation,true,Operation,true,false
_representationText,true,[Abstract] ModelObject,false,true
preContext,true,Constraint,true,true
_stateOfEntry,true,[Abstract] Behavior,false,true
_acceptEventActionOfResult,true,OutputPin,false,true
parameteredElement__from_OperationTemplateParameter,true,OperationTemplateParameter,true,false
_deploymentTargetOfDeployedElement,false,[Abstract] PackageableElement,false,false
_readExtentActionOfClassifier,true,[Abstract] Classifier,false,false
min__from_DurationInterval,true,DurationInterval,true,false
_writeStructuralFeatureActionOfValue,true,InputPin,false,true
redefinitionContext__from_Transition,true,Transition,true,false
result,true,ConditionalNode,true,false
isException,true,Parameter,true,true
_actionOfInput,true,InputPin,false,false
language,true,OpaqueAction,true,true
returnValue,true,InteractionUse,true,true
state,true,Region,true,true
ownedDefault,true,TemplateParameter,true,true
icon,true,Stereotype,true,true
_readLinkObjectEndActionOfObject,true,InputPin,false,true
value,true,LiteralUnlimitedNatural,true,true
structuredNodeInput,true,StructuredActivityNode,true,true
generalization,true,[Abstract] Classifier,true,true
interaction,true,Message,true,true
